Product Name,Brand,BF SKU,Pregnancy Safe,Redness/ Rosacea,Psoriasis,Oiliness,Hyperpigmentation,Fine Lines,Dull Skin,Dark Circles,Anti Pollution,White / Blackheads,Sensitive Skin,Dry Skin,Acne / Blemish
15% Vitamin C and EGF Serum,ByTHE INKEY LIST,8531,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Retinol Eye Cream,ByTHE INKEY LIST,8530,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PHA,ByTHE INKEY LIST,8528,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Niacinamide,ByTHE INKEY LIST,8526,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Ceramide Night Treatment,ByTHE INKEY LIST,8525,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C-50 Blemish Night Treatment,ByTHE INKEY LIST,8524,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Brighten-I Eye Cream,ByTHE INKEY LIST,8523,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bakuchiol,ByTHE INKEY LIST,8522,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alpha Arbutin,ByTHE INKEY LIST,8521,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Lait-Creme Concentre,ByEmbryolisse Laboratories,8221,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Lait-Creme Concentre,ByEmbryolisse Laboratories,8220,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Salicylic Acid 2% Masque,ByThe Ordinary,7701,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Salicylic Acid Cleanser,ByTHE INKEY LIST,7634,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Beta Hydroxy Acid,ByTHE INKEY LIST,7633,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Multi-Biotic,ByTHE INKEY LIST,7632,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Hepta-Peptide,ByTHE INKEY LIST,7631,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Polyglutamic Acid,ByTHE INKEY LIST,7630,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rosehip Oil,ByTHE INKEY LIST,7177,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Turmeric Cream Moisturiser,ByTHE INKEY LIST,7176,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kaolin Mask,ByTHE INKEY LIST,7174,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Glycolic Acid Liquid Toner,ByTHE INKEY LIST,7172,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Squalane Oil,ByTHE INKEY LIST,7171,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Vitamin C Serum,ByTHE INKEY LIST,7169,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Retinol Serum,ByTHE INKEY LIST,7168,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Q10 Serum,ByTHE INKEY LIST,7167,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Lactic Acid Serum,ByTHE INKEY LIST,7166,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
